frame,track_id,class_id,class_name,is_vehicle,conf,x1,y1,x2,y2,cx,cy,w,h
0,1,3,Car,True,0.599,1476.2,410.5,1749.7,665.6,1612.9,538.0,273.4,255.1
1,1,3,Car,True,0.595,1476.2,410.4,1749.6,665.5,1612.9,537.9,273.4,255.1
2,1,3,Car,True,0.294,1469.5,409.0,1746.9,668.0,1608.2,538.5,277.5,258.9
3,1,3,Car,True,0.494,1461.9,409.4,1742.5,671.0,1602.2,540.2,280.7,261.7
4,1,3,Car,True,0.382,1453.7,408.1,1737.0,672.0,1595.4,540.0,283.3,264.0
7,1,3,Car,True,0.448,1434.8,403.4,1727.8,675.9,1581.3,539.6,293.1,272.5
9,1,3,Car,True,0.511,1421.7,399.7,1715.6,671.5,1568.6,535.6,293.9,271.7
10,1,3,Car,True,0.361,1411.3,395.9,1713.7,674.1,1562.5,535.0,302.4,278.2
11,1,3,Car,True,0.421,1403.3,394.4,1709.2,674.8,1556.3,534.6,305.9,280.4
12,1,3,Car,True,0.377,1397.6,394.8,1701.7,672.4,1549.6,533.6,304.1,277.6
39,2,3,Car,True,0.349,1224.8,395.6,1662.3,942.2,1443.5,668.9,437.5,546.6
40,2,3,Car,True,0.524,1224.7,396.5,1659.4,939.4,1442.1,668.0,434.7,542.9
41,2,3,Car,True,0.607,1220.9,393.6,1656.5,937.4,1438.7,665.5,435.6,543.8
42,2,3,Car,True,0.678,1220.6,394.9,1655.9,937.9,1438.2,666.4,435.4,543.0
43,2,3,Car,True,0.72,1218.1,392.5,1656.5,938.7,1437.3,665.6,438.4,546.2
44,2,3,Car,True,0.665,1218.2,394.9,1653.4,935.9,1435.8,665.4,435.2,541.0
45,2,3,Car,True,0.665,1217.4,398.5,1653.1,938.7,1435.3,668.6,435.7,540.2
46,2,3,Car,True,0.667,1214.8,399.9,1649.8,936.7,1432.3,668.3,435.0,536.9
47,2,3,Car,True,0.615,1220.3,401.6,1643.1,919.4,1431.7,660.5,422.8,517.7
48,2,3,Car,True,0.493,1210.3,402.2,1643.3,928.8,1426.8,665.5,433.0,526.6
49,2,3,Car,True,0.533,1206.5,402.7,1645.9,934.1,1426.2,668.4,439.3,531.4
50,2,3,Car,True,0.636,1203.7,401.4,1650.1,938.4,1426.9,669.9,446.4,536.9
51,2,3,Car,True,0.735,1201.9,400.8,1652.6,939.6,1427.3,670.2,450.7,538.9
52,2,3,Car,True,0.762,1196.8,400.8,1650.8,940.7,1423.8,670.8,454.1,539.9
53,2,3,Car,True,0.77,1194.0,399.2,1651.5,940.9,1422.8,670.0,457.5,541.8
54,2,3,Car,True,0.765,1191.9,398.9,1650.7,940.3,1421.3,669.6,458.8,541.4
55,2,3,Car,True,0.806,1191.0,396.5,1653.0,940.2,1422.0,668.4,462.1,543.7
56,2,3,Car,True,0.822,1189.6,394.7,1656.5,942.8,1423.0,668.7,466.9,548.1
57,2,3,Car,True,0.832,1186.6,390.9,1658.6,943.6,1422.6,667.3,472.1,552.6
58,2,3,Car,True,0.851,1187.4,389.7,1663.2,945.1,1425.3,667.4,475.8,555.4
59,2,3,Car,True,0.834,1190.1,390.3,1666.3,943.5,1428.2,666.9,476.2,553.2
60,2,3,Car,True,0.836,1189.1,389.3,1669.3,944.5,1429.2,666.9,480.2,555.2
61,2,3,Car,True,0.799,1190.3,385.7,1675.0,943.5,1432.6,664.6,484.7,557.8
62,2,3,Car,True,0.781,1188.8,383.5,1678.3,944.6,1433.5,664.1,489.4,561.1
63,2,3,Car,True,0.803,1186.8,378.3,1681.8,944.8,1434.3,661.5,495.0,566.5
64,2,3,Car,True,0.789,1187.2,379.6,1683.2,946.0,1435.2,662.8,496.0,566.4
65,2,3,Car,True,0.743,1185.4,380.9,1682.6,947.3,1434.0,664.1,497.2,566.4
66,2,3,Car,True,0.655,1181.6,378.9,1680.7,945.0,1431.1,662.0,499.0,566.1
67,2,3,Car,True,0.764,1181.5,377.7,1687.3,948.5,1434.4,663.1,505.8,570.8
68,2,3,Car,True,0.803,1178.1,380.9,1681.8,946.2,1429.9,663.6,503.7,565.2
